,Neighborhood,Latitude,Longitude
0,BEDOKVILLE,1.32368059857,103.947565974
1,BRADDELL HEIGHTS ESTATE,1.34910579671,103.86504572
2,BUKIT LOYANG ESTATE,1.36105552997,103.964244914
3,CAPITOL PARK,1.32871334683,103.817978205
4,CASHEW GREEN,1.37303905903,103.770301318
5,CASHEW VILLAS,1.37182670906,103.768708675
6,CHANGI HEIGHTS,1.36293728687,103.97353199
7,DEFU INDUSTRIAL ESTATE,1.35877349271,103.894808605
8,DUNEARN ESTATE,1.32353198305,103.820569511
9,EAST COAST HILL,1.31693439906,103.935361984
10,EAST COAST PARK,1.31396064071,103.923442052
11,EDEN PARK,1.33093472968,103.792613639
12,ELIAS TERRACE,1.37176160861,103.942922198
13,ESTE VILLA,1.38218509253,103.864427984
14,FABER HILLS,1.32062382686,103.760430498
15,FIVE CHANCERY,1.31858647022,103.836751695
16,FRANKEL ESTATE,1.31210819607,103.918970789
17,GOLDHILL SHOPPING CENTRE,1.3181580889,103.843303401
18,HDB PUBLIC SHELTERS,1.35881539049,103.935939962
19,HDB-BUKIT MERAH,1.27907853357,103.826785281
20,HDB-CHOA CHU KANG,1.38020695576,103.74813763
21,HDB-HOUGANG,1.37543488476,103.893743438
22,HDB-PASIR RIS,1.3775792686,103.940659585
23,HDB-TAMPINES,1.35604416362,103.962576038
24,HDB-WOODLANDS,1.44640891218,103.772202484
25,HILLCREST VILLA,1.32811330712,103.805575496
26,HOLLYWOOD APARTMENTS,1.29651687408,103.842807025
27,KEMBANGAN ESTATE,1.32584785122,103.907455946
28,KEW PLACE,1.32092588269,103.951190611
29,KIM LIN PARK,1.30183557783,103.827220118
30,KIMSIA PARK,1.30538016068,103.83413285
31,LAUW AND SONS GARDEN,1.34966516885,103.846467153
32,LOYANG VILLAS,1.36331539503,103.966641322
33,LUCKY HILL,1.32505641818,103.946794406
34,MIMOSA TERRACE,1.38328387086,103.859861192
35,MULTI STOREY CAR PARK,1.33592015662,103.934445714
36,OPERA ESTATE,1.32047546127,103.926446786
37,PASIR RIS BEACH PARK,1.38172354846,103.945355286
38,PAVILION PARK,1.36956175141,103.752960972
39,POETS VILLAS,1.38175786767,103.828364589
40,RIVERFRONT RESIDENCES,1.37187620671,103.900585936
41,SEA VIEW PARK,1.30095352535,103.895606041
42,SEASIDE PARK,1.3097148597,103.920345651
43,SELETAR HILLS ESTATE,1.38339323105,103.875765601
44,SEMBAWANG HILLS ESTATE,1.37180279351,103.829675259
45,SEMBAWANG PARK,1.42827954723,103.826496803
46,SEMBAWANG SPRINGS ESTATE,1.43823358315,103.825988938
47,SENNETT ESTATE,1.33265935238,103.87277807
48,SERANGOON GARDEN ESTATE,1.37018103226,103.867599208
49,SERANGOON PARK,1.34693863697,103.866325767
50,SPRINGLEAF GARDEN,1.39845067204,103.824212241
51,SUMMER GARDENS,1.33113140514,103.950431883
52,SUNRISE VILLA,1.38758979332,103.855810857
53,THE LILIUM,1.3458306098,103.881021334
54,WESSEX,1.29343583781,103.798140146
55,WEST COAST GARDENS,1.31649806364,103.754820819
56,WESTWOOD PARK,1.35166839928,103.699963267
57,YONG SENG ESTATE,1.32796489168,103.91592688
0,3BHC,1.35642828993,103.832513096
1,68 DUXTON,1.27799599033,103.84290697
2,ACETECH CENTRE,1.28493555838,103.80891848
3,AIRLINE HOUSE,1.37716302165,103.99729402
4,ANG MO KIO INDUSTRIAL PARK 2,1.37561772251,103.860945146
5,APOLLO GARDENS,1.34021453971,103.958898294
6,AQUEEN HOTEL - BALESTIER,1.3252259839,103.849916613
7,ASIA STAR HOTEL,1.30850305926,103.854725503
8,Achievia Education Hub LLP,1.28115303287,103.828856189
9,Al - Amin Pre-School,1.35453749247,103.959635697
10,BAN GUAN PARK,1.32232695454,103.785761642
11,BARTLEY BIZ CENTRE,1.33932843628,103.911487776
12,BARTLEY VILLAS,1.34482760746,103.877730141
13,BAYSHORE PARK,1.31104265591,103.937387726
14,BEDOK PARK,1.3216535407,103.950704056
15,BEDOK PESARI,1.32483894898,103.954732658
16,BEDOK RIA,1.32760202083,103.951411645
17,BEDOK SHOPPING COMPLEX,1.33112402497,103.948107496
18,BELGRAVIA PARK,1.38255068508,103.869658777
19,BELGRAVIA VILLAS,1.37957872159,103.865513689
20,BENDEMEER LIGHT,1.31499138887,103.860505386
21,BIZTECH CENTRE,1.32600649566,103.879166965
22,BLOCK D,1.30901050949,103.873819974
23,BLOSSOM GARDENS,1.34518469271,103.87628776
24,BOON LAY GARDENS,1.34326615073,103.715411867
25,BOON TONG SAN TEMPLE,1.35076400709,103.721625988
26,BUANGKOK WOODS,1.38509763571,103.883639795
27,CABANA,1.38827814675,103.854984856
28,CAMDEN PARK,1.32930287253,103.816634465
29,CAMELIA PARK,1.38839367542,103.860820002
30,CAMELODGE,1.31316934204,103.929305198
31,CASHEW ESTATE,1.37158281989,103.765948904
32,CATHAY GARDEN,1.30906459638,103.919634417
33,CHANGI CAMP,1.38527662182,103.980234743
34,CHANGI PRISON COMPLEX (CLUSTER A),1.35803391109,103.971332452
35,CHARLTON PARK,1.35630351056,103.886193503
36,CHELSEA VILLAGE,1.27933118481,103.790366039
37,CHENG SAN PUBLIC LIBRARY,1.37253315637,103.89388346
38,CHENG SOON GARDEN,1.33635265557,103.772971408
39,CHIP BEE GARDENS,1.30873321256,103.799289257
40,CHIP HOCK GARDENS,1.32086936061,103.812843697
41,CHURCH OF THE DIVINE MERCY,1.38019364961,103.935990573
42,CITIBANK Esso Bedok North,1.32829323057,103.939594015
43,CITIBANK Jurong East,1.33505635093,103.739883468
44,CITIBANK Westgate,1.33429478931,103.74272211
45,CITY VUE @HENDERSON,1.28696720363,103.821708097
46,CLEMENTI CASCADIA,1.31623681443,103.763565191
47,CLEMENTI CREST,1.31275318859,103.764157271
48,CLEMENTI GREEN,1.3239137089,103.773292146
49,CLEMENTI NEIGHBOURHOOD POLICE POST,1.31196690928,103.764127181
50,COASTAL BREEZE RESIDENCES,1.37816740381,103.957248234
51,COMFORT GARDEN,1.37771148151,103.747462089
52,COMPASSVALE BEACON,1.38452262213,103.899761738
53,COMPASSVALE HAVEN,1.39269343697,103.899877418
54,CONSULATE OF THE REPUBLIC OF ESTONIA,1.32803882403,103.74833757
55,CORAL PARK,1.35400360088,103.843107252
56,D' MANOR,1.33018927046,103.946554451
57,D- MANSIONS,1.30868054802,103.895038487
